listing_id,mls_number,address,neighborhood,city,state,zip_code,price,bedrooms,bathrooms,sqft,year_built,property_type,listing_status,date_listed,last_updated,days_on_market,description,features,owner_name,owner_phone
MLS-100081,A95672999,1030 Euclid Avenue,Wynwood,Miami,FL,33127,752000,3,2.0,2071,2005,Townhouse,Active,2026-04-10,2026-04-16,71,"Stunning Wynwood townhouse with concierge, solar panels, ocean view. Move-in ready. urban living enthusiasts.",Concierge; Solar Panels; Ocean View; Central AC; Garden; Gated Community,Luis Gonzalez,305-902-9759
MLS-100082,A18846539,7481 Coral Way,South Beach,Miami Beach,FL,33139,600000,2,2.5,1040,2002,Townhouse,Active,2026-02-23,2026-03-03,117,"Rare opportunity in South Beach! This townhouse offers waterfront, hardwood floors, gym. Don't miss out.",Waterfront; Hardwood Floors; Gym; Private Beach Access; Balcony; Concierge; Doorman,Camila Garcia,305-846-6482
MLS-100083,A70726434,5751 Collins Avenue,Brickell,Miami,FL,33131,1829000,4,5.0,2225,1971,Multi-Family,Active,2026-05-17,2026-05-19,34,"Luxurious multi-family in prestigious Brickell. Comes with balcony, terrace, pet friendly. Ideal for retirees.",Balcony; Terrace; Pet Friendly; Home Office; Granite Countertops,Ana Diaz,305-299-8178
MLS-100084,A94214382,6582 Kane Concourse,North Miami,Miami,FL,33181,451000,2,1.5,1252,2007,Condo,Active,2026-04-09,2026-04-18,72,"Luxurious condo in prestigious North Miami. Comes with rooftop, central ac, concierge. Ideal for retirees.",Rooftop; Central AC; Concierge; Gym; Stainless Steel Appliances; Updated Kitchen,Juan Garcia,305-312-3504
MLS-100085,A49483865,869 Meridian Avenue,Coconut Grove,Miami,FL,33133,1349000,8,5.0,3965,1994,Multi-Family,Active,2026-04-25,2026-05-04,56,"Charming multi-family located in Coconut Grove. Highlights: gated community, stainless steel appliances, boat dock.",Gated Community; Stainless Steel Appliances; Boat Dock; Garden; Hurricane Impact Windows; Private Beach Access,Sarah Lopez,305-994-4170
MLS-100086,A96799390,5013 Meridian Avenue,Brickell,Miami,FL,33131,1576000,4,2.0,2046,2006,Condo,Active,2026-05-10,2026-05-17,41,"Luxurious condo in prestigious Brickell. Comes with high ceilings, doorman, marble floors. Ideal for professionals.",High Ceilings; Doorman; Marble Floors,Jennifer Perez,305-408-6411
MLS-100087,A59629263,4880 Collins Avenue,South Beach,Miami Beach,FL,33139,1789000,4,2.0,1929,2001,Townhouse,Active,2026-04-12,2026-04-14,69,"Stunning South Beach townhouse with walk-in closet, hurricane impact windows, private beach access. Move-in ready. retirees.",Walk-in Closet; Hurricane Impact Windows; Private Beach Access; Rooftop; Pool; Solar Panels; Garage,Antonio Johnson,305-874-8317
MLS-100088,A31227574,9871 Brickell Avenue,Key Biscayne,Miami,FL,33149,4688000,8,6.0,3941,2011,Multi-Family,Active,2026-06-13,2026-06-23,7,"Rare opportunity in Key Biscayne! This multi-family offers tennis court, rooftop, high ceilings. Don't miss out.",Tennis Court; Rooftop; High Ceilings,Luis Smith,305-500-8123
MLS-100089,A39688703,5034 NE 199th Street,South Beach,Miami Beach,FL,33139,4000000,6,3.0,3743,2011,Villa,Active,2026-02-01,2026-02-04,139,"Charming villa located in South Beach. Highlights: marble floors, bay view, home office.",Marble Floors; Bay View; Home Office; Hardwood Floors,Sarah Davis,305-294-6724
MLS-100090,A66306997,509 NE 2nd Avenue,North Beach,Miami Beach,FL,33141,592000,2,1.5,1104,2009,Condo,Active,2026-05-24,2026-06-02,27,"Beautiful condo in the heart of North Beach. Features include ocean view, pool, bay view. Perfect for retirees.",Ocean View; Pool; Bay View; Granite Countertops; Stainless Steel Appliances; Marble Floors,Sarah Lopez,305-933-9928
MLS-100091,A85986307,5462 Ocean Drive,North Miami,Miami,FL,33181,1100000,5,4.5,4031,1966,Single Family,Active,2026-01-30,2026-02-05,141,"Rare opportunity in North Miami! This single family offers doorman, gated community, granite countertops. Don't miss out.",Doorman; Gated Community; Granite Countertops; Smart Home,Linda Jones,305-760-3139
MLS-100092,A58884978,9612 SW 27th Avenue,Downtown Miami,Miami,FL,33130,751000,3,4.0,2581,2010,Single Family,Active,2026-02-24,2026-03-05,116,"Beautiful single family in the heart of Downtown Miami. Features include garage, concierge, central ac. Perfect for first-time buyers.",Garage; Concierge; Central AC; Granite Countertops; Walk-in Closet; Ocean View; Garden,William Taylor,305-903-4228
MLS-100093,A67176108,1909 NE 199th Street,Mid-Beach,Miami Beach,FL,33140,523000,1,2.5,676,1975,Condo,Active Under Contract,2026-04-11,2026-04-21,70,"Stunning Mid-Beach condo with pet friendly, balcony, walk-in closet. Move-in ready. families.",Pet Friendly; Balcony; Walk-in Closet; Ocean View,Maria Brown,305-568-6123
MLS-100094,A27740248,2811 Lincoln Road,Aventura,Miami,FL,33180,1753000,6,4.0,3039,1974,Multi-Family,Active,2026-06-15,2026-06-18,5,"Beautiful multi-family in the heart of Aventura. Features include bay view, updated kitchen, central ac. Perfect for first-time buyers.",Bay View; Updated Kitchen; Central AC; Stainless Steel Appliances; Marble Floors; Tennis Court,Carlos Jones,305-323-7919
MLS-100095,A62405812,8543 NW 41st Street,Miami Beach,Miami Beach,FL,33139,939000,2,2.0,1001,1991,Condo,Active,2026-01-20,2026-01-26,151,"Charming condo located in Miami Beach. Highlights: tennis court, bay view, marble floors.",Tennis Court; Bay View; Marble Floors; Gym,Sarah Moore,305-719-1333
MLS-100096,A94112495,7205 Michigan Avenue,Brickell,Miami,FL,33131,589000,8,6.0,3792,2006,Multi-Family,Active Under Contract,2026-04-25,2026-04-30,56,"Charming multi-family located in Brickell. Highlights: rooftop, terrace, wine cellar.",Rooftop; Terrace; Wine Cellar,Robert Rodriguez,305-892-1067
MLS-100097,A87194344,5493 Fisher Island Drive,Coral Gables,Miami,FL,33134,1213000,5,4.0,2826,2016,Multi-Family,Pending,2026-01-05,2026-01-13,166,"Rare opportunity in Coral Gables! This multi-family offers smart home, solar panels, garden. Don't miss out.",Smart Home; Solar Panels; Garden,Patricia Jones,305-465-9608
MLS-100098,A75709924,3381 Bay Road,Brickell,Miami,FL,33131,2200000,8,4.0,3723,1996,Multi-Family,Active,2026-05-26,2026-06-02,25,"Rare opportunity in Brickell! This multi-family offers boat dock, hardwood floors, terrace. Don't miss out.",Boat Dock; Hardwood Floors; Terrace; Ocean View; Pool,Robert Williams,305-790-3595
MLS-100099,A73900135,5611 Collins Avenue,Bal Harbour,Miami,FL,33154,3276000,6,4.0,3099,1996,Multi-Family,Active Under Contract,2026-03-20,2026-03-24,92,"Stunning Bal Harbour multi-family with garden, rooftop, walk-in closet. Move-in ready. families.",Garden; Rooftop; Walk-in Closet; High Ceilings; Pool; Marble Floors; Granite Countertops,Patricia Diaz,305-768-4937
MLS-100100,A40289135,789 Old Cutler Road,Coconut Grove,Miami,FL,33133,1962000,4,3.5,3459,2012,Single Family,Active Under Contract,2026-04-22,2026-04-25,59,"Charming single family located in Coconut Grove. Highlights: walk-in closet, high ceilings, garden.",Walk-in Closet; High Ceilings; Garden; Hurricane Impact Windows; Updated Kitchen; Garage; Waterfront,Jennifer Gonzalez,305-251-9700
MLS-100101,A75297400,3001 Bayshore Drive,Coconut Grove,Miami,FL,33133,250000000,4,3.5,3200,2018,Single Family,Active,2026-06-03,2026-06-11,28,Stunning Coconut Grove home with bay views. Price listed in INR.,Bay View; Pool; Boat Dock; Hardwood Floors,Robert Johnson,305-236-4163
MLS-100102,A66936428,504 Fisher Island Drive,Coconut Grove,Miami,FL,33133,1129000,4,3.5,1844,1999,Townhouse,Active,2026-03-25,2026-04-02,87,"Charming townhouse located in Coconut Grove. Highlights: garage, hardwood floors, wine cellar.",Garage; Hardwood Floors; Wine Cellar,Carlos Martinez,305-415-4492
MLS-100103,A20631350,7916 Harbor Drive,North Miami,Miami,FL,33181,1099000,5,5.0,3498,1951,Single Family,Active,2026-01-26,2026-01-31,145,"Stunning North Miami single family with doorman, rooftop, high ceilings. Move-in ready. professionals.",Doorman; Rooftop; High Ceilings; Concierge,Daniel Davis,305-425-5308
MLS-100104,A61053474,1969 Brickell Avenue,North Miami,Miami,FL,33181,1100000,8,3.0,3990,1963,Multi-Family,Active,2026-05-08,2026-05-10,43,"Charming multi-family located in North Miami. Highlights: balcony, bay view, stainless steel appliances.",Balcony; Bay View; Stainless Steel Appliances; Garage; High Ceilings; Wine Cellar; Doorman,Camila Gonzalez,305-994-9561
MLS-100105,A22315507,9290 Hibiscus Drive,Key Biscayne,Miami,FL,33149,3499000,4,2.0,2777,2009,Single Family,Active Under Contract,2026-03-21,2026-03-26,91,"Luxurious single family in prestigious Key Biscayne. Comes with hardwood floors, private beach access, updated kitchen. Ideal for retirees.",Hardwood Floors; Private Beach Access; Updated Kitchen,Juan Johnson,305-958-1502
MLS-100106,A28536762,6536 Ponce de Leon Boulevard,Pinecrest,Miami,FL,33156,3500000,5,4.0,4051,1988,Single Family,Active,2026-03-01,2026-03-04,111,"Stunning Pinecrest single family with updated kitchen, doorman, balcony. Move-in ready. professionals.",Updated Kitchen; Doorman; Balcony; Waterfront; Terrace; Pet Friendly; High Ceilings,David Taylor,305-900-4314
MLS-100107,A73364719,2979 Biscayne Boulevard,North Beach,Miami Beach,FL,33141,949000,3,2.5,1669,1969,Townhouse,Active Under Contract,2026-05-27,2026-05-27,24,"Beautiful townhouse in the heart of North Beach. Features include boat dock, pool, gated community. Perfect for professionals.",Boat Dock; Pool; Gated Community; Central AC; Private Beach Access; Concierge; Home Office,Sarah Perez,305-756-9842
MLS-100108,A42016960,7549 Indian Creek Drive,Edgewater,Miami,FL,33137,672000,4,3.0,2231,1970,Townhouse,Active,2026-02-15,2026-02-15,125,"Beautiful townhouse in the heart of Edgewater. Features include ocean view, gym, stainless steel appliances. Perfect for families.",Ocean View; Gym; Stainless Steel Appliances; Boat Dock; Bay View; Wine Cellar; Gated Community,Jennifer Lopez,305-220-3496
MLS-100109,A52018286,5475 Sunset Drive,Coconut Grove,Miami,FL,33133,1762000,5,4.5,3695,2007,Single Family,Pending,2026-01-30,2026-02-02,141,"Beautiful single family in the heart of Coconut Grove. Features include high ceilings, gated community, tennis court. Perfect for urban living enthusiasts.",High Ceilings; Gated Community; Tennis Court; Home Office; Gym; Bay View; Concierge,Patricia Rodriguez,305-670-2275
MLS-100110,A77292380,7504 Washington Avenue,Doral,Miami,FL,33172,519000,4,5.0,2930,1973,Single Family,Active,2026-01-09,2026-01-18,162,"Charming single family located in Doral. Highlights: concierge, pet friendly, central ac.",Concierge; Pet Friendly; Central AC; High Ceilings; Home Office; Solar Panels; Ocean View,Robert Jones,305-819-8792
MLS-100111,A15335477,6467 NE 2nd Ave,Mid-Beach,Miami Beach,FL,33140,1158000,2,2.0,1299,2008,Townhouse,Active,17/04/2026,23/04/2026,64,"Stunning Mid-Beach townhouse with garden, garage, terrace. Move-in ready. professionals.",Garden; Garage; Terrace; Smart Home; Waterfront; High Ceilings; Bay View,William Anderson,305-774-1352
MLS-100112,A19408620,8949 Mashta Dr,Bal Harbour,Miami,FL,33154,1227744,3,3.0,3174,1993,Villa,Active,2024-12-09,2025-01-08,558,Wonderful property in Bal Harbour.,High Ceilings; Hurricane Impact Windows; Gym; Terrace,Linda Davis,305-256-2485
MLS-100113,A77660514,9747 Sunset Drive,South Beach,Miami Beach,FL,33139,961000,8,4.0,3910,1962,Multi-Family,Active,2026-01-25,2026-01-31,146,"Stunning South Beach multi-family with smart home, marble floors, wine cellar. Move-in ready. remote workers.",Smart Home; Marble Floors; Wine Cellar; Hardwood Floors; Garden; Central AC; Gated Community,Sofia Davis,305-873-6273
MLS-100114,A10367488,4731 Sunset Drive,North Beach,Miami Beach,FL,33141,1049000,5,2.5,3952,1997,Single Family,Active,2026-02-02,2026-02-05,138,"Luxurious single family in prestigious North Beach. Comes with garden, doorman, balcony. Ideal for retirees.",Garden; Doorman; Balcony; Hardwood Floors; Ocean View,Robert Diaz,305-538-4842
MLS-100115,A23068017,7702 Euclid Avenue,Downtown Miami,Miami,FL,33130,749000,6,6.0,3145,2009,Multi-Family,Pending,2026-02-14,2026-02-18,126,"Luxurious multi-family in prestigious Downtown Miami. Comes with marble floors, private beach access, doorman. Ideal for investors.",Marble Floors; Private Beach Access; Doorman; Pool,Daniel Jones,305-742-1672
MLS-100116,A44160831,9987 Star Island Drive,Brickell,Miami,FL,33131,1552000,5,4.0,3681,1961,Single Family,Active,2026-01-31,2026-02-06,140,"Charming single family located in Brickell. Highlights: home office, smart home, wine cellar.",Home Office; Smart Home; Wine Cellar; Concierge,Antonio Smith,305-635-3193
MLS-100117,A77085942,2373 NE 191st Street,North Miami,Miami,FL,33181,378000,4,3.0,1819,1988,Multi-Family,Pending,2026-01-26,2026-02-04,145,"Stunning North Miami multi-family with doorman, garage, wine cellar. Move-in ready. families.",Doorman; Garage; Wine Cellar; Balcony; Stainless Steel Appliances; Gated Community; Rooftop,Patricia Anderson,305-264-2816
MLS-100118,A51663795,3543 Michigan Avenue,Coconut Grove,Miami,FL,33133,2443000,,3.5,3152,1984,Villa,Active,2026-02-05,2026-02-12,135,"Charming villa located in Coconut Grove. Highlights: tennis court, bay view, balcony.",Tennis Court; Bay View; Balcony; Marble Floors,Luis Martinez,305-969-4848
MLS-100119,A54800838,2225 NE 199th Street,Aventura,Miami,FL,33180,2000000,5,3.5,3337,1989,Villa,Active,2026-04-02,2026-04-05,79,"Beautiful villa in the heart of Aventura. Features include garage, pool, pet friendly. Perfect for remote workers.",Garage; Pool; Pet Friendly,Robert Wilson,305-623-1745
MLS-100120,A91547054,2830 Bay Harbor Terrace,Key Biscayne,Miami,FL,33149,5100000,4,2.0,2161,2001,Townhouse,Active Under Contract,2026-04-06,2026-04-16,75,"Rare opportunity in Key Biscayne! This townhouse offers bay view, tennis court, boat dock. Don't miss out.",Bay View; Tennis Court; Boat Dock,William Williams,305-231-3339
MLS-100121,A74628070,8322 Ponce de Leon Boulevard,Miami Beach,Miami Beach,FL,33139,1862000,5,4.0,2278,2001,Multi-Family,Active Under Contract,2026-04-22,2026-04-24,59,"Beautiful multi-family in the heart of Miami Beach. Features include hardwood floors, gym, waterfront. Perfect for urban living enthusiasts.",Hardwood Floors; Gym; Waterfront; Garden,Jennifer Wilson,305-538-2856
MLS-100122,A72734149,5792 Brickell Avenue,Pinecrest,Miami,FL,33156,3500000,6,3.0,4069,1994,Villa,Pending,2026-03-15,2026-03-23,97,"Luxurious villa in prestigious Pinecrest. Comes with garage, granite countertops, home office. Ideal for professionals.",Garage; Granite Countertops; Home Office; Updated Kitchen,Carlos Hernandez,305-767-7044
MLS-100123,A86166246,8082 Indian Creek Drive,Key Biscayne,Miami,FL,33149,7075000,4,3.0,2428,1987,Condo,Active,2025-12-27,2026-01-05,175,"Stunning Key Biscayne condo with concierge, balcony, solar panels. Move-in ready. investors.",Concierge; Balcony; Solar Panels; Garden,Emily Rodriguez,305-918-7415
MLS-100124,A56241881,8461 Bay Harbor Terrace,Mid-Beach,Miami Beach,FL,33140,1986000,5,2.5,3814,2014,Single Family,Active Under Contract,2026-06-01,2026-06-09,19,"Beautiful single family in the heart of Mid-Beach. Features include tennis court, home office, balcony. Perfect for investors.",Tennis Court; Home Office; Balcony; Solar Panels; Pool; Concierge,Robert Martinez,305-246-7941
MLS-100125,A46379997,3385 Bayshore Drive,Pinecrest,Miami,FL,33156,1970000,3,3.0,1851,1999,Townhouse,Active,2026-05-08,2026-05-10,43,"Stunning Pinecrest townhouse with garage, pool, waterfront. Move-in ready. families.",Garage; Pool; Waterfront; High Ceilings; Marble Floors,Sarah Hernandez,305-762-6218
MLS-100126,A36733470,5510 Biscayne Boulevard,South Beach,Miami Beach,FL,33139,600000,0,2.0,601,2010,Condo,Active,2026-04-30,2026-05-03,51,"Stunning South Beach condo with gated community, concierge, pool. Move-in ready. remote workers.",Gated Community; Concierge; Pool; Garage; Wine Cellar,Daniel Anderson,305-453-1549
MLS-100127,A28099607,6438 West Avenue,South Beach,Miami Beach,FL,33139,758000,2,3.0,1069,1976,Townhouse,Active,2026-01-18,2026-01-23,153,"Stunning South Beach townhouse with ocean view, gym, high ceilings. Move-in ready. urban living enthusiasts.",Ocean View; Gym; High Ceilings; Terrace,James Diaz,305-846-3986
MLS-100128,A36799898,3212 Jefferson Avenue,Edgewater,Miami,FL,33137,1457000,6,3.0,4586,1990,Villa,Active,2026-05-22,2026-05-22,29,"Beautiful villa in the heart of Edgewater. Features include central ac, high ceilings, gated community. Perfect for investors.",Central AC; High Ceilings; Gated Community; Smart Home; Updated Kitchen; Ocean View,Patricia Martinez,305-501-8869
MLS-100129,A67838146,8271 Harbor Drive,Doral,Miami,FL,33172,700000,4,3.0,2202,1991,Multi-Family,Active,2026-04-21,2026-04-30,60,"Luxurious multi-family in prestigious Doral. Comes with ocean view, balcony, smart home. Ideal for urban living enthusiasts.",Ocean View; Balcony; Smart Home; Waterfront; Rooftop,Linda Taylor,305-208-2761
MLS-100130,A61167978,2534 Bay Harbor Terrace,North Miami,Miami,FL,33181,1068000,5,3.0,3556,2009,Villa,Active,2026-03-11,2026-03-18,101,"Stunning North Miami villa with private beach access, granite countertops, garden. Move-in ready. first-time buyers.",Private Beach Access; Granite Countertops; Garden; Stainless Steel Appliances; Central AC,Patricia Garcia,305-525-8749
MLS-100131,A71909967,9483 Euclid Avenue,Miami Beach,Miami Beach,FL,33139,1843000,6,2.0,4076,2018,Villa,Active Under Contract,04/22/2026,04/28/2026,59,"Stunning Miami Beach villa with updated kitchen, hardwood floors, rooftop. Move-in ready. families.",Updated Kitchen; Hardwood Floors; Rooftop; Stainless Steel Appliances; Waterfront; Walk-in Closet; Granite Countertops,Antonio Garcia,305-969-9992
MLS-100132,A95103759,3045 Star Island Drive,North Beach,Miami Beach,FL,33141,706000,3,2.0,1731,1995,Condo,Active,2026-02-19,2026-02-28,121,"Stunning North Beach condo with rooftop, pet friendly, bay view. Move-in ready. investors.",Rooftop; Pet Friendly; Bay View; Walk-in Closet,Sofia Martinez,305-316-8362
MLS-100133,A49117508,"6583 Bay Road, Miami Beach, FL 33139",Miami Beach,Miami Beach,FL,33139,2586000,5,5.0,3551,2000,Villa,Active Under Contract,2025-12-31,2026-01-09,171,"Luxurious villa in prestigious Miami Beach. Comes with balcony, terrace, waterfront. Ideal for professionals.",Balcony; Terrace; Waterfront; Garden,Luis Williams,305-607-6228
MLS-100134,A31865061,600 NW 41st Street,North Beach,Miami Beach,FL,33141,1382000,4,3.5,1981,2011,Townhouse,Pending,2026-01-16,2026-01-24,155,"Beautiful townhouse in the heart of North Beach. Features include gym, hardwood floors, gated community. Perfect for remote workers.",Gym; Hardwood Floors; Gated Community; Rooftop; Walk-in Closet,Linda Rodriguez,305-595-1813
MLS-100135,A20024377,6561 Brickell Avenue,Brickell,Miami,FL,33131,2006000,2,3.5,2349,1990,Villa,Active,2026-04-02,2026-04-06,79,"Rare opportunity in Brickell! This villa offers hurricane impact windows, home office, concierge. Don't miss out.",Hurricane Impact Windows; Home Office; Concierge; Garden; Gated Community,Luis Anderson,305-478-4827
MLS-100136,A46613428,7664 Old Cutler Road,Doral,Miami,FL,33172,1200000,8,4.0,3604,1985,Multi-Family,Active,2026-04-12,2026-04-12,69,"Beautiful multi-family in the heart of Doral. Features include private beach access, gym, high ceilings. Perfect for urban living enthusiasts.",Private Beach Access; Gym; High Ceilings; Garage; Garden; Marble Floors,Linda Martinez,305-981-3626
MLS-100137,A27558317,4562 Old Cutler Road,Brickell,Miami,FL,33131,904000,4,4.5,3011,1997,Villa,Active Under Contract,2026-02-06,2026-02-13,134,"Luxurious villa in prestigious Brickell. Comes with rooftop, hurricane impact windows, private beach access. Ideal for remote workers.",Rooftop; Hurricane Impact Windows; Private Beach Access; Ocean View; Bay View,Michael Garcia,305-203-6464
MLS-100138,A54360949,285 Bayshore Drive,Edgewater,Miami,FL,33137,563000,3,2.0,1715,2010,Townhouse,Active,2026-03-25,2026-03-25,87,"Charming townhouse located in Edgewater. Highlights: tennis court, terrace, concierge.",Tennis Court; Terrace; Concierge,Camila Rodriguez,305-379-4178
MLS-100139,A95052118,648 Washington Avenue,Aventura,Miami,FL,33180,813000,5,4.5,3607,2013,Villa,Pending,2026-05-26,2026-05-28,25,"Charming villa located in Aventura. Highlights: private beach access, wine cellar, rooftop.",Private Beach Access; Wine Cellar; Rooftop; Walk-in Closet; Pet Friendly; Marble Floors; Bay View,Juan Gonzalez,305-683-2279
MLS-100140,A78574830,1027 Bayshore Drive,South Beach,Miami Beach,FL,33139,1219000,3,3.0,2099,1965,Townhouse,Active Under Contract,2026-04-01,2026-04-04,80,"Charming townhouse located in South Beach. Highlights: ocean view, gym, gated community.",Ocean View; Gym; Gated Community; Pet Friendly; Garage; Waterfront; Tennis Court,Jennifer Taylor,305-598-4892
MLS-100141,A20597167,4415 Mashta Drive,Doral,Miami,FL,33172,380000,2,2.5,1683,2018,Townhouse,Active,2026-01-28,2026-02-03,143,"Luxurious townhouse in prestigious Doral. Comes with stainless steel appliances, high ceilings, ocean view. Ideal for retirees.",Stainless Steel Appliances; High Ceilings; Ocean View; Gated Community; Concierge; Marble Floors; Doorman,Antonio Gonzalez,305-687-5896
MLS-100142,A40277197,5565 NE 199th Street,Coconut Grove,Miami,FL,33133,2674000,5,3.0,2555,2000,Multi-Family,Active,2026-01-06,2026-01-10,165,"Rare opportunity in Coconut Grove! This multi-family offers marble floors, walk-in closet, home office. Don't miss out.",Marble Floors; Walk-in Closet; Home Office; Ocean View,Daniel Rodriguez,305-768-5590
MLS-100143,A69307507,2026 Ponce de Leon Boulevard,Downtown Miami,Miami,FL,33130,320000,0,2.5,459,2017,Condo,Active,2026-02-08,2026-02-16,132,"Stunning Downtown Miami condo with waterfront, rooftop, smart home. Move-in ready. professionals.",Waterfront; Rooftop; Smart Home,Antonio Diaz,305-664-7719
MLS-100144,A70863732,4744 Biscayne Boulevard,Miami Beach,Miami Beach,FL,33139,2335000,3,2.5,1882,1993,Condo,Pending,2026-04-20,2026-04-26,61,"Charming condo located in Miami Beach. Highlights: updated kitchen, home office, central ac.",Updated Kitchen; Home Office; Central AC; Gated Community; Wine Cellar; Hardwood Floors; Waterfront,Michael Williams,305-941-6614
MLS-100145,A32750139,1792 Collins Avenue,Key Biscayne,Miami,FL,33149,6107000,4,4.0,2653,2013,Single Family,Active,2026-03-09,2026-03-09,103,"Stunning Key Biscayne single family with doorman, concierge, wine cellar. Move-in ready. retirees.",Doorman; Concierge; Wine Cellar; Bay View; Solar Panels,Antonio Moore,305-373-7237
MLS-100146,A16895666,8851 Ponce de Leon Boulevard,Miami Beach,Miami Beach,FL,33139,862000,2,2.0,1566,1982,Townhouse,Active,2026-01-03,2026-01-10,168,"Luxurious townhouse in prestigious Miami Beach. Comes with private beach access, pool, central ac. Ideal for investors.",Private Beach Access; Pool; Central AC,Elena Anderson,305-548-4020
MLS-100147,A96690951,960 Coral Way,Wynwood,Miami,FL,33127,1175000,6,6.0,2702,1985,Multi-Family,Active,2026-06-14,2026-06-22,6,"Luxurious multi-family in prestigious Wynwood. Comes with doorman, boat dock, hurricane impact windows. Ideal for first-time buyers.",Doorman; Boat Dock; Hurricane Impact Windows; Rooftop,Robert Brown,305-528-5676
MLS-100148,A73193474,7725 Harbor Drive,North Beach,Miami Beach,FL,33141,1294000,3,3.0,1914,2009,Condo,Pending,2026-05-16,2026-05-26,35,"Luxurious condo in prestigious North Beach. Comes with gym, waterfront, stainless steel appliances. Ideal for professionals.",Gym; Waterfront; Stainless Steel Appliances; Updated Kitchen; Smart Home,Camila Hernandez,305-625-9998
MLS-100149,A19447334,904 West Avenue,Coral Gables,Miami,FL,33134,1262000,1,1.0,813,1970,Condo,Active,2026-02-16,2026-02-26,124,"Rare opportunity in Coral Gables! This condo offers gym, high ceilings, solar panels. Don't miss out.",Gym; High Ceilings; Solar Panels,Maria Perez,305-741-1666
MLS-100150,A56344519,4167 NE 2nd Avenue,Key Biscayne,Miami,FL,33149,9000000,6,5.0,3063,1985,Multi-Family,Active Under Contract,2026-03-02,2026-03-11,110,"Stunning Key Biscayne multi-family with balcony, gated community, garden. Move-in ready. retirees.",Balcony; Gated Community; Garden; High Ceilings; Terrace; Private Beach Access; Solar Panels,Robert Lopez,305-839-5760
MLS-100151,A53233116,7902 Bay Harbor Terrace,Mid-Beach,Miami Beach,FL,33140,548000,2,3.5,1515,2022,Townhouse,Pending,2026-06-04,2026-06-14,16,"Beautiful townhouse in the heart of Mid-Beach. Features include balcony, pet friendly, boat dock. Perfect for first-time buyers.",Balcony; Pet Friendly; Boat Dock; Pool; Ocean View; Smart Home; Concierge,Elena Anderson,305-275-2323
MLS-100152,A89865458,4820 Old Cutler Road,Wynwood,Miami,FL,33127,987000,4,4.0,2070,2020,Multi-Family,Active Under Contract,2025-12-28,2025-12-31,174,"Stunning Wynwood multi-family with garage, high ceilings, stainless steel appliances. Move-in ready. urban living enthusiasts.",Garage; High Ceilings; Stainless Steel Appliances; Boat Dock; Updated Kitchen; Walk-in Closet,Juan Garcia,305-369-6039
MLS-100153,A76713516,"5893 Brickell Avenue, Miami, FL 33156",Pinecrest,Miami,FL,33156,1863000,2,1.0,1347,2006,Condo,Active,2026-05-04,2026-05-13,47,"Rare opportunity in Pinecrest! This condo offers concierge, hardwood floors, waterfront. Don't miss out.",Concierge; Hardwood Floors; Waterfront; Garage; Home Office; Wine Cellar; Balcony,Maria Perez,305-623-2422
MLS-100154,A10294869,8428 Hibiscus Drive,Coconut Grove,Miami,FL,33133,2134000,3,2.0,1772,1987,Condo,Active,2026-02-19,2026-02-24,121,"Luxurious condo in prestigious Coconut Grove. Comes with wine cellar, waterfront, rooftop. Ideal for remote workers.",Wine Cellar; Waterfront; Rooftop; Smart Home; Garden; Tennis Court; Gym,Sofia Smith,305-977-4633
MLS-100155,A46484819,1656 Washington Avenue,North Beach,Miami Beach,FL,33141,718000,3,4.5,2886,2001,Single Family,Active,2026-02-23,2026-03-04,117,"Stunning North Beach single family with rooftop, solar panels, bay view. Move-in ready. investors.",Rooftop; Solar Panels; Bay View; Gym; Gated Community,Sofia Davis,305-609-8479
MLS-100156,A15730602,1110 Mashta Drive,Miami Beach,Miami Beach,FL,33139,1414000,2,2.0,1381,1971,Condo,Active,2026-01-17,2026-01-26,154,"Luxurious condo in prestigious Miami Beach. Comes with hurricane impact windows, gated community, bay view. Ideal for remote workers.",Hurricane Impact Windows; Gated Community; Bay View; Pool; Granite Countertops,David Martinez,305-539-3007
MLS-100157,A64914054,9535 NW 41st Street,North Miami,Miami,FL,33181,533000,4,3.0,2202,2014,Townhouse,Active Under Contract,2026-04-25,2026-05-04,56,"Stunning North Miami townhouse with hardwood floors, tennis court, wine cellar. Move-in ready. remote workers.",Hardwood Floors; Tennis Court; Wine Cellar; High Ceilings; Pool; Solar Panels; Pet Friendly,James Brown,305-909-2133
MLS-100158,A63098035,6733 Washington Avenue,Key Biscayne,Miami,FL,33149,5818000,5,4.5,3528,2016,Villa,Active Under Contract,2026-01-14,2026-01-22,157,"Luxurious villa in prestigious Key Biscayne. Comes with boat dock, rooftop, garden. Ideal for first-time buyers.",Boat Dock; Rooftop; Garden; Home Office; Ocean View; Marble Floors; Garage,Maria Gonzalez,305-731-9812
MLS-100159,A44587020,1577 Hibiscus Drive,Mid-Beach,Miami Beach,FL,33140,615000,3,3.0,1683,1999,Townhouse,Pending,2026-02-19,2026-02-25,121,"Charming townhouse located in Mid-Beach. Highlights: pool, walk-in closet, hardwood floors.",Pool; Walk-in Closet; Hardwood Floors; Doorman; Marble Floors; Garage; High Ceilings,Linda Jones,305-319-9409
